Unique Id,indicator_id,geo_type_id,measurement_type_id,internal_id,subtopic_id,name,Measure,geo_type_name,description,geo_entity_id,geo_entity_name,year_description,data_value,message
93404,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),101,Kingsbridge - Riverdale,2009,14.5,Estimate is based on small numbers so should be interpreted with caution.
93405,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),102,Northeast Bronx,2009,15.5,
93406,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),103,Fordham - Bronx Pk,2009,17,
93407,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),104,Pelham - Throgs Neck,2009,19.3,
93408,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),105,Crotona -Tremont,2009,20.4,
93409,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),106,High Bridge - Morrisania,2009,20.4,
93410,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),107,Hunts Point - Mott Haven,2009,20.4,
93411,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),201,Greenpoint,2009,12.8,
93412,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),202,Downtown - Heights - Slope,2009,14.3,
93413,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),203,Bedford Stuyvesant - Crown Heights,2009,20.2,
93414,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),204,East New York,2009,12,
93415,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),205,Sunset Park,2009,12.4,Estimate is based on small numbers so should be interpreted with caution.
93416,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),206,Borough Park,2009,21.4,
93417,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),207,East Flatbush - Flatbush,2009,10.4,
93418,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),208,Canarsie - Flatlands,2009,13.3,
93419,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),209,Bensonhurst - Bay Ridge,2009,16.9,
93420,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),210,Coney Island - Sheepshead Bay,2009,15.7,
93421,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),211,Williamsburg - Bushwick,2009,23.2,
93422,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),301,Washington Heights,2009,10.7,Estimate is based on small numbers so should be interpreted with caution.
93423,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),302,Central Harlem - Morningside Heights,2009,21.9,
93424,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),303,East Harlem,2009,12.9,Estimate is based on small numbers so should be interpreted with caution.
93425,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),304,Upper West Side,2009,9.7,
93426,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),305,Upper East Side,2009,15.4,
93428,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),306,Chelsea - Clinton,2009,16.7,
93427,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),307,Gramercy Park - Murray Hill,2009,15.4,
93429,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),308,Greenwich Village - SoHo,2009,16.7,
93430,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),309,Union Square - Lower East Side,2009,18.5,
93431,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),310,Lower Manhattan,2009,18.5,
93432,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),401,Long Island City - Astoria,2009,17.6,
93433,307,3,5,2019,3,Cigarette Smoking among Adults,Percent,UHF42,Neighborhood (UHF 42),402,West Queens,2009,15.8,
