name,Measure,geo_type_name,geo_entity_id,geo_entity_name,year_description,data_value
Nitric Oxide (NO),Mean,UHF34,101,Kingsbridge - Riverdale,Annual Average 2016,13.22
Nitric Oxide (NO),Mean,UHF34,102,Northeast Bronx,Annual Average 2016,14.62
Nitric Oxide (NO),Mean,UHF34,103,Fordham - Bronx Pk,Annual Average 2016,14.92
Nitric Oxide (NO),Mean,UHF34,104,Pelham - Throgs Neck,Annual Average 2016,15.94
Nitric Oxide (NO),Mean,UHF34,201,Greenpoint,Annual Average 2016,20.4
Nitric Oxide (NO),Mean,UHF34,202,Downtown - Heights - Slope,Annual Average 2016,21.23
Nitric Oxide (NO),Mean,UHF34,203,Bedford Stuyvesant - Crown Heights,Annual Average 2016,19.03
Nitric Oxide (NO),Mean,UHF34,204,East New York,Annual Average 2016,18.22
Nitric Oxide (NO),Mean,UHF34,205,Sunset Park,Annual Average 2016,17.74
Nitric Oxide (NO),Mean,UHF34,206,Borough Park,Annual Average 2016,16.24
Nitric Oxide (NO),Mean,UHF34,207,East Flatbush - Flatbush,Annual Average 2016,18.09
Nitric Oxide (NO),Mean,UHF34,208,Canarsie - Flatlands,Annual Average 2016,15.6
Nitric Oxide (NO),Mean,UHF34,209,Bensonhurst - Bay Ridge,Annual Average 2016,14.91
Nitric Oxide (NO),Mean,UHF34,210,Coney Island - Sheepshead Bay,Annual Average 2016,14.39
Nitric Oxide (NO),Mean,UHF34,211,Williamsburg - Bushwick,Annual Average 2016,18.83
Nitric Oxide (NO),Mean,UHF34,301,Washington Heights,Annual Average 2016,16.53
Nitric Oxide (NO),Mean,UHF34,302,Central Harlem - Morningside Heights,Annual Average 2016,16.98
Nitric Oxide (NO),Mean,UHF34,303,East Harlem,Annual Average 2016,18.73
Nitric Oxide (NO),Mean,UHF34,304,Upper West Side,Annual Average 2016,22.11
Nitric Oxide (NO),Mean,UHF34,401,Long Island City - Astoria,Annual Average 2016,16.68
